Coin,net_pnl,volume_usd,realized_trades,pnl_per_1k_volume
@23,-1.10649763,5218.84,0.0,-0.21201984157398962
MERL,-3.1941089999999996,96.53,1.0,-33.089288304154145
@3,-3.9588620000000003,575.81,2.0,-6.875292197078899
@116,-4.061064,11.85,2.0,-342.70582278481015
@123,-4.20183797,400024.3300000001,0.0,-0.010503956021874967
@152,-5.143727999999999,59831.5,88.0,-0.0859702330712083
IOTA,-6.828413,12495.93,3.0,-0.5464509644340197
ENS,-12.125005,20014.59,2.0,-0.6058083128357863
BNT,-19.645217000000002,5828.41,7.0,-3.3705962689652926
@63,-20.68406689,59.95,1.0,-345.02196647206
MNT,-21.526249999999997,1340.2200000000003,3.0,-16.06172867141215
@95,-30.570829,120.78,1.0,-253.11168239774796
TON,-36.932688,53812.28,20.0,-0.6863245341026248
FIL,-40.230334,19806.989999999998,3.0,-2.031118004300502
@49,-41.0866238,959.28,3.0,-42.83068947543992
@112,-58.015041999999994,759.6300000000001,3.0,-76.37276305569814
@9,-60.4038853,242.32000000000002,1.0,-249.27321434466816
BANANA,-81.75481400000002,1078.52,5.0,-75.8027797351927
@4,-113.55958399999952,87457.20000000001,262.0,-1.298458949063079
@124,-128.90345004,1173.08,5.0,-109.88462000886555
@2,-131.951513,999.8799999999999,1.0,-131.96734908188984
FXS,-150.86942899999997,113054.22,44.0,-1.3344873725191326
CANTO,-193.530991,20132.280000000002,5.0,-9.612969370582963
@8,-303.86772300000007,44809.65,12.0,-6.7813009697687905
@51,-336.63768853,18319.940000000002,3.0,-18.375479861287754
@14,-343.66645,849.2800000000001,0.0,-404.6562382253202
@147,-350.838507,612.5600000000001,5.0,-572.7414571633799
OM,-779.7419440000001,13968.95,28.0,-55.819653159328375
@20,-809.74651,1087.94,2.0,-744.2933525745904
@83,-1088.01740522,1426.4099999999999,8.0,-762.76624898872
CRV,-1281.633084,121969.82,61.0,-10.507788598851748
ZEN,-1476.754308,38169.049999999996,15.0,-38.68983660845633
STRK,-1527.4792330000002,83026.4,31.0,-18.397512514091908
NIL,-3334.684767,481868.22,86.0,-6.920325160683974
@135,-5981.369216,15.56,1.0,-384406.76195372746
POPCAT,-8112.8797620000005,803456.85,654.0,-10.097467912558093
S,-8676.938485,224183.08,116.0,-38.70469834297932
KAITO,-8947.794670999998,897912.9799999999,173.0,-9.965102265255146
PAXG,-19257.688882,3047336.3899999997,485.0,-6.319515280687472
IO,-21977.461948000004,252981.67,130.0,-86.87373258307608
ADA,-28235.040419999998,1094836.4000000001,287.0,-25.78927812411059
FARTCOIN,-103045.15219700002,8311390.4,2164.0,-12.398064251319491
TRUMP,-366554.65358999994,7349346.94,959.0,-49.875812991623434
