trade_date,sentiment,fear_greed_value,trade_count,realized_trades,unique_accounts,unique_coins,volume_usd,gross_closed_pnl,fees,net_pnl,avg_net_pnl_per_trade,median_net_pnl_per_trade,win_rate_realized,avg_realized_pnl,pnl_per_1k_volume,avg_trade_size_usd,taker_rate
2024-03-18,Extreme Greed,77.0,19.0,6.0,3.0,3.0,90458.08,1456.9577,24.943279999999998,1432.01442,75.36918,-0.458581,1.0,242.82628333333332,15.830696605543693,4760.951578947369,0.9473684210526315
2024-03-19,Extreme Greed,79.0,24.0,7.0,3.0,4.0,219884.84000000003,668.797973,25.988312,642.809661,26.783735875,-0.29032199999999997,0.7142857142857143,95.54256757142856,2.923392358472735,9161.868333333334,0.25
2024-03-20,Greed,74.0,69.0,60.0,2.0,6.0,215705.85,6423.134599,39.878838,6383.2557609999985,92.510953057971,13.928619,1.0,107.05224331666665,29.59240911176029,3126.171739130435,0.37681159420289856
2024-03-21,Extreme Greed,78.0,28.0,23.0,3.0,3.0,117895.57,2335.5080749999997,16.39475,2319.113325,82.82547589285714,27.3740405,1.0,101.54382934782608,19.670911510924455,4210.556071428572,0.17857142857142858
2024-03-24,Greed,74.0,19.0,15.0,1.0,1.0,92592.21000000002,1297.0184769999998,8.888836999999999,1288.12964,67.79629684210526,34.98395,1.0,86.46789846666665,13.911857595795585,4873.274210526317,0.0
2024-03-25,Extreme Greed,75.0,7.0,6.0,1.0,1.0,57116.32,1302.916428,19.990712000000002,1282.925716,183.27510228571427,147.631239,1.0,217.152738,22.461631211534637,8159.4742857142855,1.0
2024-03-26,Extreme Greed,81.0,118.0,110.0,2.0,3.0,198565.19000000003,3215.9065929999997,28.147403,3187.75919,27.01490838983051,17.9730445,1.0,29.235514481818175,16.053967918546043,1682.7558474576274,0.1271186440677966
2024-03-27,Extreme Greed,83.0,38.0,19.0,2.0,3.0,99864.79,150.41114000000002,31.717952,118.69318799999999,3.1235049473684207,-0.056457499999999994,0.631578947368421,7.916375789473685,1.1885389034513565,2628.020789473684,0.868421052631579
2024-03-28,Extreme Greed,80.0,13.0,9.0,2.0,2.0,35323.72,227.85100799999998,9.059229,218.79177899999996,16.83013684615384,12.195089,1.0,25.316778666666664,6.193905370102581,2717.209230769231,0.3076923076923077
2024-03-29,Extreme Greed,79.0,15.0,6.0,1.0,1.0,86914.37000000002,883.097404,30.420029999999997,852.6773739999999,56.84515826666666,-0.183681,1.0,147.18290066666665,9.810545413836627,5794.291333333335,1.0
2024-03-30,Extreme Greed,75.0,45.0,44.0,1.0,1.0,101103.92000000001,1100.5751400000001,9.939453999999998,1090.6356859999999,24.236348577777775,10.065674999999999,1.0,25.013071363636367,10.787273985024514,2246.753777777778,0.06666666666666667
2024-03-31,Extreme Greed,75.0,13.0,10.0,1.0,1.0,39912.95999999999,912.7861449999999,13.969522000000001,898.8166229999999,69.13974023076922,15.879041,1.0,91.27861449999999,22.51941782819415,3070.2276923076915,1.0
2024-04-01,Extreme Greed,79.0,77.0,43.0,2.0,4.0,339470.47000000003,2507.963406,83.751362,2424.212044000001,31.48327329870131,0.545337,0.9767441860465116,58.32473037209303,7.141157356043371,4408.707402597403,0.6493506493506493
2024-04-02,Extreme Greed,79.0,41.0,12.0,2.0,3.0,239664.51,883.760812,80.132574,803.6282379999998,19.60068873170731,-0.035009,1.0,73.64673433333333,3.3531382598115997,5845.475853658537,0.9024390243902439
2024-04-03,Greed,71.0,4.0,1.0,2.0,2.0,16887.57,126.7884,1.661201,125.12719899999999,31.281799749999998,-0.163045,1.0,126.7884,7.409425926879948,4221.8925,0.0
2024-04-04,Greed,70.0,32.0,0.0,1.0,1.0,95987.73,0.0,33.595684999999996,-33.595684999999996,-1.0498651562499999,-0.336515,,,-0.3499997864310365,2999.6165625,1.0
2024-04-05,Extreme Greed,79.0,100.0,90.0,3.0,6.0,503791.8,10706.484305999998,103.43013800000001,10603.054167999997,106.03054167999997,8.894601999999999,1.0,118.96093673333331,21.04650009785788,5037.918,0.24
2024-04-06,Extreme Greed,75.0,16.0,4.0,1.0,1.0,68223.67000000001,236.33513399999998,23.878276999999997,212.45685699999999,13.278553562499999,-0.3053735,1.0,59.083783499999996,3.1141223713118915,4263.979375000001,1.0
2024-04-07,Extreme Greed,78.0,23.0,0.0,1.0,1.0,49988.13999999999,0.0,17.495845000000003,-17.495845000000003,-0.7606889130434784,-0.238322,,,-0.34999991998101965,2173.3973913043474,1.0
2024-04-08,Extreme Greed,76.0,30.0,1.0,2.0,2.0,211940.64,1218.4267,61.790547999999994,1156.636152,38.5545384,-0.776656,1.0,1218.4267,5.457358966170905,7064.688,0.9333333333333333
2024-04-09,Extreme Greed,80.0,3.0,0.0,1.0,1.0,57063.840000000004,0.0,19.972341,-19.972341,-6.657447,-3.56448,,,-0.34999994742730245,19021.280000000002,1.0
2024-04-10,Extreme Greed,78.0,41.0,36.0,1.0,1.0,351735.97,5207.443413999999,123.10756199999999,5084.335852,124.00819151219513,31.602960000000003,1.0,144.65120594444448,14.454978408946916,8578.926097560974,1.0
2024-04-11,Extreme Greed,76.0,16.0,2.0,1.0,1.0,76400.95999999999,389.743164,26.740329,363.00283499999995,22.687677187499997,-0.4458185,1.0,194.871582,4.751286305826524,4775.0599999999995,1.0
2024-04-12,Extreme Greed,79.0,129.0,101.0,3.0,5.0,442088.58999999997,-592.645839,97.560875,-690.2067139999999,-5.350439643410852,4.025768,0.7029702970297029,-5.867780584158417,-1.5612407323156654,3427.043333333333,0.5116279069767442
2024-04-13,Greed,72.0,89.0,61.0,2.0,6.0,486411.25,6621.451755000001,118.999176,6502.452579000001,73.06126493258428,15.834203,1.0,108.54838942622949,13.368219955850119,5465.294943820225,0.5842696629213483
2024-04-14,Greed,72.0,107.0,74.0,2.0,5.0,659162.1699999999,-36104.01252,213.47740399999998,-36317.489924,-339.415793682243,-2.13528,0.44594594594594594,-487.8920610810811,-55.0964414781267,6160.394112149532,0.6728971962616822
2024-04-15,Greed,74.0,41.0,35.0,2.0,2.0,291111.19,3774.0887199999997,40.650603999999994,3733.438116,91.05946624390243,14.61116,1.0,107.83110628571428,12.824783945955495,7100.272926829269,0.12195121951219512
